id_hex,id_imovel,titulo,url,preco,descricao,quartos,suites,banheiros,vagas,area,bairro,imagem,imagens,imobiliaria,data_extracao
0d0798905e63,dfimoveis_1308950,"SHIS QI 17 Conjunto 3, LAGO SUL, BRASILIA",/imovel/casa-4-quartos-aluguel-lago-sul-brasilia-df-shis-qi-17-conjunto-3-1308950,32500,"A FUTURA NEGÓCIOS IMOBILIÁRIOS disponibiliza para LOCAÇÃO:

Casa Alto Padrão Reformada  SHIS QI 17, Lago Sul  560m²
Apre... 25/02/26",4 Quartos,2 Suítes,N/A,5 Vagas,560 m²,Lago Sul,https://img.dfimoveis.com.br/fotos/1308950/67ea1527e2b0f61e56fdad2db04bae99.webp,['https://img.dfimoveis.com.br/fotos/1308950/67ea1527e2b0f61e56fdad2db04bae99.webp'],Futura Negócios Imobiliários,2026-08-30T15:02:17.847672
2b4006b2d0b0,dfimoveis_1324621,"SQB 1, GUARA I, GUARA",/imovel/apartamento-3-quartos-aluguel-guara-i-guara-df-sqb-1-1324621,6500,"Localizado no Ilha Bela Residence, este apartamento reúne modernidade, conforto e excelente aproveitamento de espaço, id... 25/03/26",3 Quartos,1 Suíte,N/A,2 Vagas,100 m²,Guará,https://img.dfimoveis.com.br/fotos/1324621/22d17fb3fe1cfbe0e30b337e71a0b1d2.webp,['https://img.dfimoveis.com.br/fotos/1324621/22d17fb3fe1cfbe0e30b337e71a0b1d2.webp'],Alpha Brasilia Administradora de Imóveis,2026-08-30T15:02:17.851143
6c4d5668efc8,dfimoveis_1361049,"SHIS QI 5 Chacará s 53 a 61, LAGO SUL, BRASILIA",/imovel/casa-4-quartos-aluguel-lago-sul-brasilia-df-shis-qi-5-chacara-s-53-a-61-1361049,35000,"Casa térrea de alto padrão localizada na QI 5 , com ambientes amplos, integração sofisticada e excelente área de lazer, ... 30/05/26",4 Quartos,3 Suítes,N/A,N/A,1820 m²,Lago Sul,https://img.dfimoveis.com.br/fotos/1361049/c691c2691d5b0d67b342d7e0040623f6.webp,['https://img.dfimoveis.com.br/fotos/1361049/c691c2691d5b0d67b342d7e0040623f6.webp'],Consult Imóveis,2026-08-30T15:02:17.854688
711846907946,dfimoveis_1373135,"CLS 406, ASA SUL, BRASILIA",/imovel/loja-0-quartos-aluguel-asa-sul-brasilia-df-cls-406-1373135,12900,"LOJA COMERCIAL PARA LOCAÇÃO – CLS 406, ASA SUL – BRASÍLIA/DF

TÉRREO + SUBSOLO: R$ 12.900,00

Excelente imóvel comercial... 24/06/26",N/A,N/A,N/A,N/A,140 m²,Asa Sul,https://img.dfimoveis.com.br/fotos/1373135/08ced5fcb30553346862c9af0322304e.webp,['https://img.dfimoveis.com.br/fotos/1373135/08ced5fcb30553346862c9af0322304e.webp'],Nova Era Imob,2026-08-30T15:02:17.859837
2e845eff7bd7,dfimoveis_1347423,"SHIS QI 7, LAGO SUL, BRASILIA",/imovel/casa-4-quartos-aluguel-lago-sul-brasilia-df-shis-qi-7-1347423,85000,"DIFERENCIAL DO IMÓVEL:
- Acabamento de alto padrão em travertino romano bruto
- Armários planejados da marca Bontempo
- ... 05/05/26",4 Quartos,4 Suítes,N/A,4 Vagas,800 m²,Lago Sul,https://img.dfimoveis.com.br/fotos/1347423/a8e06d0422da4c7ebb77deb928bf8bd2.webp,['https://img.dfimoveis.com.br/fotos/1347423/a8e06d0422da4c7ebb77deb928bf8bd2.webp'],Soma Imóveis,2026-08-30T15:02:17.864446
76d49972a73b,dfimoveis_722742,"Condomínio Ouro Vermelho I, JARDIM BOTANICO, BRASILIA",/imovel/casa-condominio-4-quartos-aluguel-jardim-botanico-brasilia-df-condominio-ouro-vermelho-i-722742,12000,"Exclusiva Casa no Condomínio Ouro Vermelho I
 
Seja bem-vindo ao seu novo lar! Esta magnífica casa, localizada no presti... 11/03/23",4 Quartos,4 Suítes,N/A,4 Vagas,535 m²,Jardim Botânico,https://img.dfimoveis.com.br/fotos/722742/7d1a512cae41dfd29e84c3ceebe21f28.webp,['https://img.dfimoveis.com.br/fotos/722742/7d1a512cae41dfd29e84c3ceebe21f28.webp'],Yani Netimóveis,2026-08-30T15:02:17.867823
fcb01595df57,dfimoveis_1337131,"SHIS QL 12 Conjunto 7, LAGO SUL, BRASILIA",/imovel/casa-4-quartos-aluguel-lago-sul-brasilia-df-shis-ql-12-conjunto-7-1337131,40000,"A exclusividade de estar em uma obra de arte da arquitetura modernista, na localização mais cobiçada de Brasília. Situad... 16/04/26",5 Quartos,4 Suítes,N/A,2 Vagas,650 m²,Lago Sul,https://img.dfimoveis.com.br/fotos/1337131/151b3e434a32854b374de4922cc19879.webp,['https://img.dfimoveis.com.br/fotos/1337131/151b3e434a32854b374de4922cc19879.webp'],Aguiar de Vasconcelos ,2026-08-30T15:02:17.873464
ac54eda9d5bb,dfimoveis_1320976,"Condomínio Quintas do Sol, JARDIM BOTANICO, BRASILIA",/imovel/casa-3-quartos-aluguel-jardim-botanico-brasilia-df-condominio-quintas-do-sol-1320976,15200,"Casa Nova no Jardim Botânico - Onde o conforto moderno encontra a natureza viva

Residência nova e cuidadosamente projet... 18/03/26",3 Quartos,3 Suítes,N/A,2 Vagas,400 m²,Jardim Botânico,https://img.dfimoveis.com.br/fotos/1320976/35aee474bb8ce3d8e7dc50f66ac01901.webp,['https://img.dfimoveis.com.br/fotos/1320976/35aee474bb8ce3d8e7dc50f66ac01901.webp'],Marco Real Estate,2026-08-30T15:02:17.877474
48d635d3a319,dfimoveis_1287929,"SHIS QI 3 Conjunto 10, LAGO SUL, BRASILIA",/imovel/casa-4-quartos-aluguel-lago-sul-brasilia-df-shis-qi-3-conjunto-10-1287929,18000,"SHIS QI 03 CONJUNTO 10 CASA 13 - Lago Sul


DESTAQUES: Localização privilegiada, próxima a Ponte JK, Parque Ecológico da... 16/01/26",6 Quartos,5 Suítes,N/A,3 Vagas,729 m²,Lago Sul,https://img.dfimoveis.com.br/fotos/1287929/b6f3f6e6758da5634dcf2e56fc3ff81c.webp,['https://img.dfimoveis.com.br/fotos/1287929/b6f3f6e6758da5634dcf2e56fc3ff81c.webp'],SPR Imóveis,2026-08-30T15:02:17.880586
9651ae95ea41,dfimoveis_1318043,"Condomínio Village Alvorada I, JARDIM BOTANICO, BRASILIA",/imovel/casa-4-quartos-aluguel-jardim-botanico-brasilia-df-condominio-village-alvorada-i-1318043,16900,"Neves Teixeira Imóveis Aluga:

Excelente casa estilo contemporâneo, casa e piscina com aquecimento solar, com 5 quartos.... 12/03/26",5 Quartos,4 Suítes,N/A,6 Vagas,550 m²,Jardim Botânico,https://img.dfimoveis.com.br/fotos/1318043/e53fc352de6ddfc587d6e7be2067abf4.webp,['https://img.dfimoveis.com.br/fotos/1318043/e53fc352de6ddfc587d6e7be2067abf4.webp'],Neves Teixeira Imóveis,2026-08-30T15:02:17.883397
